artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Armin van Buuren,This Is What It Feels Like,"pop, Dance/Electronic",2013,0.551,0.833,204360,FALSE,,,,,,,,,
Justin Timberlake,Mirrors,pop,2013,0.574,0.512,484146,FALSE,,,,,,,,,
Bruno Mars,Treasure,pop,2012,0.874,0.692,178560,TRUE,,,,,,,,,
Of Monsters and Men,Little Talks,"pop, rock, Folk/Acoustic",2012,0.457,0.757,266600,FALSE,,,,,,,,,
Miley Cyrus,We Can't Stop,pop,2013,0.613,0.622,231240,FALSE,,,,,,,,,
J. Cole,Power Trip (feat. Miguel),hip hop,2013,0.667,0.61,241160,TRUE,,,,,,,,,
Paramore,Still into You,"pop, rock",2013,0.602,0.923,216013,FALSE,,,,,,,,,
Christina Perri,human,pop,2013,0.439,0.489,250706,FALSE,,,,,,,,,
Drake,"Hold On, We're Going Home","hip hop, pop, R&B",2013,0.773,0.414,227880,FALSE,,,,,,,,,
James Blunt,Bonfire Heart,pop,2013,0.575,0.821,238000,FALSE,,,,,,,,,
Maroon 5,Daylight,pop,2012,0.656,0.674,225066,FALSE,,,,,,,,,
Childish Gambino,3005,hip hop,2013,0.681,0.463,235662,TRUE,,,,,,,,,
Avril Lavigne,Here's to Never Growing Up,pop,2013,0.483,0.871,214080,TRUE,,,,,,,,,
Taylor Swift,22,pop,2012,0.661,0.729,232120,FALSE,,,,,,,,,
Passenger,Let Her Go,pop,2012,0.509,0.538,252866,FALSE,,,,,,,,,
Ariana Grande,The Way,pop,2013,0.645,0.878,227026,FALSE,,,,,,,,,
Rihanna,Stay,"hip hop, pop, R&B",2012,0.621,0.31,240706,FALSE,,,,,,,,,
Justin Timberlake,Suit & Tie (feat. Jay-Z),pop,2013,0.795,0.596,326280,TRUE,,,,,,,,,
Bruno Mars,When I Was Your Man,pop,2012,0.612,0.28,213826,FALSE,,,,,,,,,
Florida Georgia Line,Cruise,country,2012,0.457,0.948,208960,FALSE,,,,,,,,,
Pharrell Williams,"Happy - From ""Despicable Me 2""","hip hop, pop",2014,0.647,0.822,232720,FALSE,,,,,,,,,
Katy Perry,Dark Horse,pop,2013,0.647,0.585,215672,FALSE,,,,,,,,,
ScHoolboy Q,Collard Greens,"hip hop, pop",2014,0.826,0.571,299960,TRUE,,,,,,,,,
Iggy Azalea,Fancy,"hip hop, pop",2014,0.912,0.716,199938,TRUE,,,,,,,,,
Maroon 5,Animals,pop,2014,0.279,0.742,231013,FALSE,,,,,,,,,
Sam Smith,Stay With Me,pop,2014,0.418,0.42,172723,FALSE,,,,,,,,,
MAGIC!,Rude,set(),2014,0.773,0.758,224840,FALSE,,,,,,,,,
Sia,Chandelier,pop,2014,0.399,0.787,216120,FALSE,,,,,,,,,
John Legend,All of Me,"pop, R&B",2013,0.422,0.264,269560,FALSE,,,,,,,,,
ZHU,Faded,Dance/Electronic,2014,0.861,0.475,223386,FALSE,,,,,,,,,
Meghan Trainor,All About That Bass,pop,2015,0.807,0.887,187920,TRUE,,,,,,,,,
David Guetta,Lovers on the Sun (feat. Sam Martin),"hip hop, pop, Dance/Electronic",2014,0.645,0.891,203520,FALSE,,,,,,,,,
Iggy Azalea,Black Widow,"hip hop, pop",2014,0.743,0.72,209423,TRUE,,,,,,,,,
Tove Lo,Habits (Stay High),"pop, Dance/Electronic",2014,0.733,0.65,209160,FALSE,,,,,,,,,
Oliver Heldens,Gecko (Overdrive) - Radio Edit,"pop, Dance/Electronic",2014,0.609,0.885,165440,FALSE,,,,,,,,,
DJ Snake,You Know You Like It,"hip hop, pop, Dance/Electronic",2014,0.407,0.725,247266,FALSE,,,,,,,,,
Jason Derulo,Talk Dirty (feat. 2 Chainz),"hip hop, pop",2013,0.76,0.652,177685,TRUE,,,,,,,,,
Maroon 5,Maps,pop,2014,0.737,0.723,189840,FALSE,,,,,,,,,
David Guetta,Bad (feat. Vassy) - Radio Edit,"hip hop, pop, Dance/Electronic",2014,0.614,0.972,170625,FALSE,,,,,,,,,
Tinashe,2 On (feat. ScHoolboy Q),"hip hop, pop, R&B, Dance/Electronic",2014,0.742,0.595,227000,TRUE,,,,,,,,,
Route 94,My Love (feat. Jess Glynne),"pop, Dance/Electronic",2014,0.814,0.622,259934,FALSE,,,,,,,,,
Taylor Swift,Bad Blood,pop,2014,0.646,0.794,211933,FALSE,,,,,,,,,
Trey Songz,Na Na,"hip hop, pop, R&B",2015,0.67,0.476,231906,FALSE,,,,,,,,,
Calvin Harris,Under Control (feat. Hurts),"hip hop, pop, Dance/Electronic",2014,0.544,0.915,184280,FALSE,,,,,,,,,
O.T. Genasis,CoCo,"hip hop, pop",2014,0.886,0.628,239573,TRUE,,,,,,,,,
Jason Derulo,Wiggle (feat. Snoop Dogg),"hip hop, pop",2013,0.697,0.621,193295,FALSE,,,,,,,,,
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,"pop, rock",2014,0.76,0.886,189399,FALSE,,,,,,,,,
Jeremih,Don't Tell 'Em,"hip hop, pop, R&B",2015,0.856,0.527,266840,TRUE,,,,,,,,,
Nicki Minaj,Anaconda,"hip hop, pop",2014,0.964,0.605,260240,TRUE,,,,,,,,,
Calvin Harris,Blame (feat. John Newman),"hip hop, pop, Dance/Electronic",2014,0.414,0.857,212960,FALSE,,,,,,,,,
DJ Snake,Turn Down for What,"hip hop, pop, Dance/Electronic",2013,0.818,0.799,213733,FALSE,,,,,,,,,
Pitbull,Timber (feat. Ke$ha),"hip hop, pop, latin",2012,0.581,0.963,204160,FALSE,,,,,,,,,
OneRepublic,Counting Stars,pop,2014,0.663,0.705,257386,FALSE,,,,,,,,,
Bobby Shmurda,Hot N*gga,"hip hop, pop",2014,0.794,0.51,194561,TRUE,,,,,,,,,
Calvin Harris,Summer,"hip hop, pop, Dance/Electronic",2014,0.603,0.861,224506,FALSE,,,,,,,,,
ScHoolboy Q,Man Of The Year,"hip hop, pop",2014,0.743,0.861,216013,TRUE,,,,,,,,,
Nico & Vinz,Am I Wrong,"hip hop, pop",2014,0.729,0.675,245866,FALSE,,,,,,,,,
Becky G,Shower,"pop, latin",2014,0.699,0.529,206166,FALSE,,,,,,,,,
Sigma,Nobody To Love - Radio Edit,"pop, Dance/Electronic",2014,0.441,0.921,189720,FALSE,,,,,,,,,
The Chainsmokers,#SELFIE - Original Mix,"pop, Dance/Electronic",2014,0.789,0.915,183750,FALSE,,,,,,,,,
Lorde,Team,"pop, Dance/Electronic",2013,0.69,0.578,193058,FALSE,,,,,,,,,
Rixton,Me And My Broken Heart,pop,2014,0.545,0.783,193733,FALSE,,,,,,,,,
Klingande,Jubel - Radio Edit,"pop, Dance/Electronic",2013,0.686,0.524,201626,FALSE,,,,,,,,,
Mr. Probz,Waves - Robin Schulz Radio Edit,"hip hop, Dance/Electronic",2014,0.829,0.51,208133,FALSE,,,,,,,,,
Paloma Faith,Only Love Can Hurt Like This,"pop, R&B, Dance/Electronic",2014,0.566,0.885,232893,FALSE,,,,,,,,,
Kiesza,Hideaway,"pop, Dance/Electronic",2014,0.838,0.72,251986,FALSE,,,,,,,,,
Ellie Goulding,Burn,"pop, rock, Dance/Electronic",2014,0.559,0.777,231211,FALSE,,,,,,,,,
Ariana Grande,Break Free,pop,2014,0.687,0.702,214840,FALSE,,,,,,,,,
Kid Ink,Show Me (feat. Chris Brown),"hip hop, pop",2014,0.711,0.508,217800,TRUE,,,,,,,,,
Tove Lo,Talking Body,"pop, Dance/Electronic",2014,0.736,0.761,238426,TRUE,,,,,,,,,
Chris Brown,Loyal (feat. Lil Wayne & Tyga),"hip hop, pop, R&B",2014,0.841,0.522,264946,TRUE,,,,,,,,,
OneRepublic,Love Runs Out,pop,2014,0.719,0.935,224226,FALSE,,,,,,,,,
Olly Murs,Up (feat. Demi Lovato),"pop, Dance/Electronic",2014,0.69,0.845,224293,FALSE,,,,,,,,,
Peking Duk,High (feat. Nicole Millar),Dance/Electronic,2014,0.525,0.803,228000,FALSE,,,,,,,,,
Milky Chance,Stolen Dance,set(),2014,0.885,0.581,313684,FALSE,,,,,,,,,
Ed Sheeran,Don't,pop,2014,0.806,0.608,219840,FALSE,,,,,,,,,
Ariana Grande,Love Me Harder,pop,2014,0.472,0.714,236133,FALSE,,,,,,,,,
Enrique Iglesias,Bailando - Spanish Version,"pop, latin",2014,0.718,0.792,243386,FALSE,,,,,,,,,
Avicii,Hey Brother,"pop, Dance/Electronic",2013,0.545,0.78,255093,FALSE,,,,,,,,,
Jessie J,Bang Bang,"hip hop, pop",2014,0.706,0.786,199386,FALSE,,,,,,,,,
Duke Dumont,I Got U,"pop, Dance/Electronic",2014,0.636,0.761,285596,FALSE,,,,,,,,,
Gorgon City,Ready For Your Love,"pop, Dance/Electronic",2014,0.677,0.753,198880,FALSE,,,,,,,,,
Taylor Swift,Style,pop,2014,0.588,0.791,231000,FALSE,,,,,,,,,
MKTO,Classic,"hip hop, pop",2012,0.72,0.791,175426,FALSE,,,,,,,,,
Disclosure,Latch,"pop, Dance/Electronic",2013,0.503,0.727,255631,FALSE,,,,,,,,,
Ariana Grande,Problem,pop,2014,0.66,0.805,193920,FALSE,,,,,,,,,
Charli XCX,Boom Clap,"pop, Dance/Electronic",2014,0.659,0.911,169866,FALSE,,,,,,,,,
One Direction,Steal My Girl,pop,2014,0.536,0.768,228133,FALSE,,,,,,,,,
Tiësto,Red Lights,"pop, Dance/Electronic",2013,0.653,0.829,263890,FALSE,,,,,,,,,
Selena Gomez,The Heart Wants What It Wants,pop,2014,0.616,0.789,227360,FALSE,,,,,,,,,
Rita Ora,I Will Never Let You Down,"hip hop, pop, Dance/Electronic",2014,0.753,0.801,203466,FALSE,,,,,,,,,
5 Seconds of Summer,She Looks So Perfect,pop,2014,0.494,0.951,202496,FALSE,,,,,,,,,
The Script,Superheroes,"pop, rock",2014,0.49,0.885,245466,FALSE,,,,,,,,,
Taylor Swift,Shake It Off,pop,2014,0.647,0.8,219200,FALSE,,,,,,,,,
One Direction,Night Changes,pop,2014,0.672,0.52,226600,FALSE,,,,,,,,,
Ed Sheeran,Sing,pop,2014,0.818,0.67,235382,FALSE,,,,,,,,,
Alesso,Heroes (we could be),"pop, Dance/Electronic",2014,0.521,0.754,209866,FALSE,,,,,,,,,
Tiësto,Wasted,"pop, Dance/Electronic",2014,0.645,0.832,188371,FALSE,,,,,,,,,
G.R.L.,Ugly Heart,pop,2014,0.65,0.786,198306,FALSE,,,,,,,,,
Coldplay,A Sky Full of Stars,"rock, pop",2014,0.545,0.675,267866,FALSE,,,,,,,,,
Clean Bandit,Rather Be (feat. Jess Glynne),"pop, Dance/Electronic",2014,0.799,0.586,227833,FALSE,,,,,,,,,
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,"hip hop, pop, Dance/Electronic",2014,0.596,0.738,217346,FALSE,,,,,,,,,
Sia,Elastic Heart,pop,2014,0.421,0.791,257200,FALSE,,,,,,,,,
One Direction,Story of My Life,pop,2013,0.6,0.663,245493,FALSE,,,,,,,,,
Alex & Sierra,Little Do You Know,pop,2014,0.5,0.292,185200,FALSE,,,,,,,,,
Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),"hip hop, pop, R&B",2014,0.733,0.676,226580,TRUE,,,,,,,,,
Echosmith,Cool Kids,pop,2013,0.719,0.671,237626,FALSE,,,,,,,,,
Natalie La Rose,Somebody,set(),2014,0.83,0.52,189906,FALSE,,,,,,,,,
Vance Joy,Riptide,"rock, pop",2014,0.484,0.731,204280,FALSE,,,,,,,,,
Beyoncé,Drunk in Love (feat. Jay-Z),"pop, R&B",2014,0.589,0.621,323480,TRUE,,,,,,,,,
Maroon 5,Sugar,pop,2014,0.744,0.783,235493,TRUE,,,,,,,,,
Ella Henderson,Ghost,"pop, Dance/Electronic",2014,0.68,0.84,213213,FALSE,,,,,,,,,
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",pop,2013,0.581,0.0549,300840,FALSE,,,,,,,,,
Chris Brown,New Flame (feat. Usher & Rick Ross),"hip hop, pop, R&B",2014,0.702,0.629,244226,TRUE,,,,,,,,,
Sheppard,Geronimo,"pop, rock, Dance/Electronic",2014,0.707,0.771,218227,FALSE,,,,,,,,,
Olly Murs,Wrapped Up (feat. Travie McCoy),"pop, Dance/Electronic",2014,0.787,0.848,185640,FALSE,,,,,,,,,
Sam Smith,Money On My Mind,pop,2014,0.688,0.841,192670,FALSE,,,,,,,,,
Jason Derulo,Trumpets,"hip hop, pop",2013,0.627,0.703,217306,FALSE,,,,,,,,,
Nicki Minaj,Bed Of Lies,"hip hop, pop",2014,0.716,0.67,269946,TRUE,,,,,,,,,
Nick Jonas,Jealous - Remix,pop,2014,0.685,0.709,222213,TRUE,,,,,,,,,
Mark Ronson,Uptown Funk (feat. Bruno Mars),pop,2015,0.856,0.609,269666,TRUE,,,,,,,,,
Ed Sheeran,Thinking out Loud,pop,2014,0.781,0.445,281560,FALSE,,,,,,,,,
Wiz Khalifa,See You Again (feat. Charlie Puth),"hip hop, pop",2015,0.689,0.481,229525,FALSE,,,,,,,,,
Justin Bieber,What Do You Mean?,pop,2015,0.845,0.567,205680,FALSE,,,,,,,,,
Major Lazer,Lean On (feat. MØ & DJ Snake),"hip hop, pop, Dance/Electronic",2015,0.723,0.809,176561,FALSE,,,,,,,,,
The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","pop, R&B",2014,0.659,0.381,252226,FALSE,,,,,,,,,
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""","pop, rock, Dance/Electronic",2015,0.262,0.606,252534,FALSE,,,,,,,,,
Calvin Harris,Outside (feat. Ellie Goulding),"hip hop, pop, Dance/Electronic",2014,0.646,0.823,227266,FALSE,,,,,,,,,
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","hip hop, pop, Dance/Electronic",2014,0.596,0.73,192560,FALSE,,,,,,,,,
Demi Lovato,Cool for the Summer,pop,2015,0.586,0.613,214746,TRUE,,,,,,,,,
Taylor Swift,Blank Space,pop,2014,0.76,0.703,231826,FALSE,,,,,,,,,
The Weeknd,The Hills,"pop, R&B",2015,0.585,0.564,242253,TRUE,,,,,,,,,
The Neighbourhood,Daddy Issues,"rock, pop",2015,0.588,0.521,260173,FALSE,,,,,,,,,
Deorro,Five More Hours,"pop, Dance/Electronic",2015,0.699,0.883,211975,FALSE,,,,,,,,,
Avicii,The Nights,"pop, Dance/Electronic",2014,0.527,0.835,176658,FALSE,,,,,,,,,
DJ Snake,You Know You Like It,"hip hop, pop, Dance/Electronic",2014,0.407,0.725,247266,FALSE,,,,,,,,,
Adam Lambert,Ghost Town,pop,2015,0.703,0.736,208330,TRUE,,,,,,,,,
Rae Sremmurd,No Type,"hip hop, pop",2015,0.891,0.486,200080,TRUE,,,,,,,,,
Taylor Swift,Bad Blood,pop,2015,0.654,0.655,200106,FALSE,,,,,,,,,
Flo Rida,GDFR (feat. Sage the Gemini & Lookas),"hip hop, pop",2015,0.657,0.827,190185,FALSE,,,,,,,,,
Robin Schulz,Sugar (feat. Francesco Yates),"pop, Dance/Electronic",2015,0.636,0.815,219043,FALSE,,,,,,,,,
Calvin Harris,How Deep Is Your Love,"hip hop, pop, Dance/Electronic",2015,0.738,0.868,212640,FALSE,,,,,,,,,
Philip George,Wish You Were Mine - Radio Edit,"pop, Dance/Electronic",2014,0.654,0.832,177560,FALSE,,,,,,,,,
Trey Songz,Na Na,"hip hop, pop, R&B",2015,0.67,0.476,231906,FALSE,,,,,,,,,
Fall Out Boy,Centuries,rock,2015,0.393,0.858,228360,FALSE,,,,,,,,,
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),hip hop,2016,0.886,0.427,177184,TRUE,,,,,,,,,
Lost Frequencies,Are You With Me - Radio Edit,"pop, Dance/Electronic",2014,0.776,0.574,138842,FALSE,,,,,,,,,
Twenty One Pilots,Stressed Out,rock,2015,0.734,0.637,202333,FALSE,,,,,,,,,
Fifth Harmony,Worth It (feat. Kid Ink),pop,2015,0.884,0.765,224573,FALSE,,,,,,,,,
KALEO,Way down We Go,"rock, classical",2015,0.59,0.578,219560,FALSE,,,,,,,,,
Sam Smith,Like I Can,pop,2014,0.656,0.627,167065,FALSE,,,,,,,,,
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"hip hop, pop, Dance/Electronic",2015,0.746,0.877,166138,FALSE,,,,,,,,,
Martin Solveig,Intoxicated - New Radio Mix,"pop, Dance/Electronic",2015,0.8,0.677,159693,FALSE,,,,,,,,,
Avicii,Waiting For Love,"pop, Dance/Electronic",2015,0.579,0.736,230613,FALSE,,,,,,,,,
Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"hip hop, pop, Dance/Electronic",2018,0.778,0.566,186146,FALSE,,,,,,,,,
Taylor Swift,Wildest Dreams,pop,2014,0.553,0.664,220440,FALSE,,,,,,,,,
The Weeknd,In The Night,"pop, R&B",2015,0.48,0.682,235653,TRUE,,,,,,,,,
Pitbull,Time of Our Lives,"hip hop, pop, latin",2014,0.721,0.802,229360,TRUE,,,,,,,,,
Galantis,Runaway (U & I),"pop, Dance/Electronic",2015,0.506,0.805,227073,FALSE,,,,,,,,,
Rihanna,Bitch Better Have My Money,"hip hop, pop, R&B",2015,0.781,0.728,219305,TRUE,,,,,,,,,
Zara Larsson,Lush Life,"pop, Dance/Electronic",2015,0.658,0.741,202213,FALSE,,,,,,,,,
One Direction,Drag Me Down,pop,2015,0.73,0.703,192120,FALSE,,,,,,,,,
Travis Scott,Antidote,"hip hop, Dance/Electronic",2015,0.713,0.526,262693,TRUE,,,,,,,,,
Years & Years,King,"pop, Dance/Electronic",2015,0.559,0.848,215360,FALSE,,,,,,,,,
Demi Lovato,Confident,pop,2015,0.594,0.749,205745,TRUE,,,,,,,,,
Lemaitre,Closer,pop,2017,0.583,0.785,270589,FALSE,,,,,,,,,
Selena Gomez,Same Old Love,pop,2015,0.672,0.593,229080,FALSE,,,,,,,,,
Pia Mia,Do It Again,"pop, R&B",2015,0.712,0.564,207746,TRUE,,,,,,,,,
Flo Rida,My House,"hip hop, pop",2015,0.688,0.702,192190,FALSE,,,,,,,,,
Silentó,Watch Me (Whip / Nae Nae),hip hop,2015,0.819,0.768,185131,FALSE,,,,,,,,,
Chris Brown,Ayo,"hip hop, pop, R&B",2015,0.823,0.563,225226,TRUE,,,,,,,,,
The Strumbellas,Spirits,"rock, Folk/Acoustic, pop",2016,0.556,0.658,203653,FALSE,,,,,,,,,
Fetty Wap,Trap Queen,"hip hop, pop",2015,0.746,0.873,222093,TRUE,,,,,,,,,
Tove Lo,Talking Body,"pop, Dance/Electronic",2014,0.736,0.761,238426,TRUE,,,,,,,,,
Beyoncé,11-Jul,"pop, R&B",2014,0.747,0.705,213506,FALSE,,,,,,,,,
Lana Del Rey,High By The Beach,pop,2015,0.536,0.486,257573,TRUE,,,,,,,,,
Zara Larsson,Never Forget You,"pop, Dance/Electronic",2017,0.583,0.732,213427,FALSE,,,,,,,,,
Jeremih,oui,"hip hop, pop, R&B",2015,0.418,0.724,238320,FALSE,,,,,,,,,
Drake,Hotline Bling,"hip hop, pop, R&B",2016,0.891,0.628,267066,FALSE,,,,,,,,,
Selena Gomez,Kill Em With Kindness,pop,2015,0.757,0.884,217906,FALSE,,,,,,,,,
Birdy,Let It All Go,pop,2015,0.383,0.43,280757,FALSE,,,,,,,,,
Fetty Wap,679 (feat. Remy Boyz),"hip hop, pop",2015,0.618,0.717,196693,TRUE,,,,,,,,,
Ariana Grande,Love Me Harder,pop,2014,0.472,0.714,236133,FALSE,,,,,,,,,
The Weeknd,Can't Feel My Face,"pop, R&B",2015,0.705,0.769,213520,FALSE,,,,,,,,,
SAYGRACE,You Don't Own Me (feat. G-Eazy),"pop, R&B",2015,0.336,0.664,199314,FALSE,,,,,,,,,
X Ambassadors,Renegades,"hip hop, rock, pop",2015,0.526,0.862,195200,FALSE,,,,,,,,,
R. City,Locked Away (feat. Adam Levine),pop,2015,0.509,0.671,227480,FALSE,,,,,,,,,
Kygo,Stole the Show,"pop, Dance/Electronic",2016,0.64,0.635,223186,FALSE,,,,,,,,,
Tame Impala,The Less I Know The Better,metal,2015,0.64,0.74,216320,TRUE,,,,,,,,,
Selena Gomez,Good For You,pop,2015,0.6,0.676,221560,TRUE,,,,,,,,,
Fetty Wap,My Way (feat. Monty),"hip hop, pop",2015,0.748,0.741,213053,TRUE,,,,,,,,,
Hozier,Take Me To Church,"Folk/Acoustic, pop",2014,0.566,0.664,241688,FALSE,,,,,,,,,
Taylor Swift,Style,pop,2014,0.588,0.791,231000,FALSE,,,,,,,,,
Alessia Cara,Here,"pop, R&B",2015,0.379,0.799,199453,FALSE,,,,,,,,,
Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",pop,2015,0.261,0.302,278987,FALSE,,,,,,,,,
David Guetta,Bang My Head (feat. Sia & Fetty Wap),"hip hop, pop, Dance/Electronic",2015,0.599,0.869,193333,FALSE,,,,,,,,,
Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),"hip hop, pop",2015,0.589,0.658,223973,TRUE,,,,,,,,,
Big Sean,I Don't Fuck With You,"hip hop, pop",2015,0.824,0.733,284386,TRUE,,,,,,,,,
Kygo,Firestone,"pop, Dance/Electronic",2016,0.704,0.634,271640,FALSE,,,,,,,,,
Drake,Jumpman,"hip hop, pop, R&B",2015,0.853,0.558,205879,TRUE,,,,,,,,,
Petit Biscuit,Sunset Lover,Dance/Electronic,2015,0.783,0.467,237792,FALSE,,,,,,,,,
Shawn Mendes,Stitches,pop,2015,0.746,0.754,206880,FALSE,,,,,,,,,
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","hip hop, pop",2015,0.854,0.766,224258,FALSE,,,,,,,,,
Selena Gomez,The Heart Wants What It Wants,pop,2014,0.616,0.789,227373,FALSE,,,,,,,,,
Jack Ü,Where Are Ü Now (with Justin Bieber),"pop, Dance/Electronic",2015,0.432,0.781,250285,FALSE,,,,,,,,,
Ellie Goulding,On My Mind,"pop, rock, Dance/Electronic",2015,0.699,0.688,213445,FALSE,,,,,,,,,
Bryson Tiller,Don't,"hip hop, pop, R&B",2015,0.765,0.356,198293,TRUE,,,,,,,,,
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)","hip hop, pop",2015,0.676,0.615,176674,TRUE,,,,,,,,,
Joel Adams,Please Don't Go,R&B,2015,0.513,0.768,210580,FALSE,,,,,,,,,
Zedd,I Want You To Know,"hip hop, pop, Dance/Electronic",2015,0.561,0.877,238800,FALSE,,,,,,,,,
Jonas Blue,Fast Car,"pop, Dance/Electronic",2015,0.644,0.57,212424,FALSE,,,,,,,,,
BØRNS,Electric Love,"rock, pop",2015,0.373,0.858,218173,FALSE,,,,,,,,,
Sigala,Easy Love,"pop, Dance/Electronic",2018,0.68,0.942,229813,FALSE,,,,,,,,,
Justin Bieber,Sorry,pop,2015,0.654,0.76,200786,FALSE,,,,,,,,,
Ariana Grande,One Last Time,pop,2014,0.628,0.593,197266,FALSE,,,,,,,,,
Little Mix,Black Magic,pop,2015,0.777,0.896,211773,FALSE,,,,,,,,,
One Direction,Perfect,pop,2015,0.647,0.823,230333,FALSE,,,,,,,,,
Years & Years,Shine,"pop, Dance/Electronic",2015,0.667,0.716,255506,FALSE,,,,,,,,,
Meghan Trainor,Lips Are Movin,pop,2015,0.775,0.825,182666,FALSE,,,,,,,,,
Nicky Jam,El Perdón - Forgiveness,latin,2017,0.736,0.719,206666,FALSE,,,,,,,,,
The Weeknd,Starboy,"pop, R&B",2016,0.681,0.594,230453,TRUE,,,,,,,,,
Drake,One Dance,"hip hop, pop, R&B",2016,0.792,0.625,173986,FALSE,,,,,,,,,
Justin Bieber,Love Yourself,pop,2015,0.609,0.378,233720,FALSE,,,,,,,,,
The Chainsmokers,Closer,"pop, Dance/Electronic",2016,0.748,0.524,244960,FALSE,,,,,,,,,
Adele,Hello,"pop, R&B",2015,0.471,0.431,295502,FALSE,,,,,,,,,
Desiigner,Panda,"hip hop, pop",2016,0.576,0.766,246761,TRUE,,,,,,,,,
Burak Yeter,Tuesday (feat. Danelle Sandoval),Dance/Electronic,2016,0.841,0.639,241874,FALSE,,,,,,,,,
Sia,Cheap Thrills (feat. Sean Paul),pop,2016,0.592,0.8,224813,FALSE,,,,,,,,,
OneRepublic,Wherever I Go,pop,2016,0.552,0.689,169773,FALSE,,,,,,,,,
Rihanna,Work,"hip hop, pop, R&B",2016,0.725,0.534,219320,TRUE,,,,,,,,,
Coldplay,Hymn for the Weekend,"rock, pop",2015,0.491,0.693,258266,FALSE,,,,,,,,,
Justin Bieber,Sorry,pop,2015,0.654,0.76,200786,FALSE,,,,,,,,,
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",pop,2016,0.666,0.83,236001,FALSE,,,,,,,,,
WILLOW,Wait a Minute!,"pop, R&B, Dance/Electronic",2015,0.764,0.705,196520,FALSE,,,,,,,,,
Desiigner,Tiimmy Turner,"hip hop, pop",2016,0.603,0.725,239853,TRUE,,,,,,,,,
G-Eazy,"Me, Myself & I","hip hop, pop",2015,0.756,0.674,251466,TRUE,,,,,,,,,
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),"hip hop, pop, Dance/Electronic",2016,0.367,0.915,207272,FALSE,,,,,,,,,
Astrid S,Hurts So Good,"rock, pop, Dance/Electronic",2016,0.672,0.589,208728,FALSE,,,,,,,,,
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","hip hop, pop",2016,0.502,0.786,243490,TRUE,,,,,,,,,
Twenty One Pilots,Heathens,rock,2016,0.732,0.396,195920,FALSE,,,,,,,,,
Future,Low Life (feat. The Weeknd),"hip hop, pop",2016,0.722,0.331,313546,TRUE,,,,,,,,,
Galantis,No Money,"pop, Dance/Electronic",2016,0.671,0.916,189126,FALSE,,,,,,,,,
The Chainsmokers,Don't Let Me Down,"pop, Dance/Electronic",2016,0.532,0.869,208373,FALSE,,,,,,,,,
Tinie Tempah,Girls Like (feat. Zara Larsson),"hip hop, pop, Dance/Electronic",2016,0.916,0.804,196000,TRUE,,,,,,,,,
Alok,Hear Me Now,"pop, Dance/Electronic",2016,0.788,0.43,192846,FALSE,,,,,,,,,
Jon Bellion,All Time Low,"hip hop, pop",2016,0.617,0.567,217603,TRUE,,,,,,,,,
Cheat Codes,Sex,"pop, Dance/Electronic",2016,0.51,0.692,228361,FALSE,,,,,,,,,
Meghan Trainor,NO,pop,2017,0.557,0.803,213506,FALSE,,,,,,,,,
Dua Lipa,Hotter Than Hell,pop,2017,0.532,0.868,187957,FALSE,,,,,,,,,
Martin Garrix,In the Name of Love,"pop, Dance/Electronic",2016,0.501,0.519,195706,FALSE,,,,,,,,,
Alan Walker,Faded,Dance/Electronic,2018,0.468,0.627,212106,FALSE,,,,,,,,,
Tove Lo,Cool Girl,"pop, Dance/Electronic",2016,0.674,0.71,197815,TRUE,,,,,,,,,
DJ Snake,Let Me Love You,"hip hop, pop, Dance/Electronic",2016,0.649,0.716,205946,FALSE,,,,,,,,,
Calvin Harris,This Is What You Came For (feat. Rihanna),"hip hop, pop, Dance/Electronic",2016,0.631,0.927,222160,FALSE,,,,,,,,,
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"hip hop, pop, Dance/Electronic",2016,0.664,0.714,197933,TRUE,,,,,,,,,
Kevin Gates,2 Phones,"hip hop, pop",2016,0.895,0.681,240000,TRUE,,,,,,,,,
Rihanna,Needed Me,"hip hop, pop, R&B",2016,0.671,0.314,191600,TRUE,,,,,,,,,
