artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Limp Bizkit,Rollin' (Air Raid Vehicle),metal,2000,0.603,0.933,213760,TRUE,,,,,,,,,
Lasgo,Something,pop,2001,0.643,0.981,220973,FALSE,,,,,,,,,
iio,Rapture (feat.Nadia Ali),Dance/Electronic,2006,0.661,0.855,253586,FALSE,,,,,,,,,
Emma Bunton,What Took You So Long?,pop,2001,0.668,0.772,241000,FALSE,,,,,,,,,
112,It's Over Now,"hip hop, pop, R&B",2001,0.66,0.71,264933,FALSE,,,,,,,,,
Blue,All Rise,pop,2001,0.721,0.737,223546,FALSE,,,,,,,,,
Jessica Simpson,Irresistible,"pop, R&B",2001,0.657,0.965,194026,FALSE,,,,,,,,,
Crazy Town,Butterfly,"rock, metal",1999,0.736,0.811,216733,FALSE,,,,,,,,,
Michael Jackson,You Rock My World,"pop, R&B",2001,0.854,0.673,337733,FALSE,,,,,,,,,
Eve,Let Me Blow Ya Mind,"hip hop, pop, R&B",2001,0.908,0.557,230133,TRUE,,,,,,,,,
Jennifer Lopez,Ain't It Funny,"hip hop, pop, R&B",2001,0.707,0.869,246160,FALSE,,,,,,,,,
Brandy,Another Day in Paradise - R&B-Version,"hip hop, pop, R&B",2002,0.7,0.787,271626,FALSE,,,,,,,,,
Nickelback,How You Remind Me,"rock, metal",2001,0.446,0.764,223840,FALSE,,,,,,,,,
Daft Punk,One More Time,"hip hop, Dance/Electronic",2001,0.613,0.697,320357,FALSE,,,,,,,,,
Outkast,Ms. Jackson,"hip hop, pop",2000,0.843,0.806,270506,TRUE,,,,,,,,,
Fragma,Everytime You Need Me - Radio Version,"pop, Dance/Electronic",2001,0.682,0.917,213346,FALSE,,,,,,,,,
Mariah Carey,Loverboy,"pop, R&B",2001,0.721,0.79,229173,FALSE,,,,,,,,,
Dido,Thank You,pop,1999,0.725,0.583,218360,FALSE,,,,,,,,,
Joe,Stutter (feat. Mystikal) - Double Take Remix,"pop, R&B",2000,0.767,0.759,213026,FALSE,,,,,,,,,
P.O.D.,Youth of the Nation,"rock, metal",2001,0.563,0.86,256240,FALSE,,,,,,,,,
Jennifer Lopez,Play,"hip hop, pop, R&B",2001,0.775,0.729,211493,TRUE,,,,,,,,,
Missy Elliott,Get Ur Freak On,"hip hop, pop, R&B",2001,0.797,0.75,211120,TRUE,,,,,,,,,
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),"pop, latin",2008,0.635,0.854,252706,FALSE,,,,,,,,,
Christina Milian,AM To PM,"hip hop, pop, R&B",2001,0.872,0.868,231213,FALSE,,,,,,,,,
Roger Sanchez,Another Chance,Dance/Electronic,2000,0.61,0.82,452906,FALSE,,,,,,,,,
Gorillaz,Clint Eastwood,hip hop,2001,0.663,0.694,340920,TRUE,,,,,,,,,
2Pac,Until The End Of Time,hip hop,2001,0.757,0.706,266506,TRUE,,,,,,,,,
Tamia,Stranger in My House,"pop, R&B",2000,0.676,0.601,285386,FALSE,,,,,,,,,
Mary J. Blige,No More Drama,"pop, R&B",2001,0.653,0.837,326240,FALSE,,,,,,,,,
Jennifer Lopez,Love Don't Cost a Thing,"hip hop, pop, R&B",2001,0.786,0.842,221226,FALSE,,,,,,,,,
Jamiroquai,Little L,pop,2001,0.878,0.724,295400,FALSE,,,,,,,,,
Case,Missing You,"hip hop, pop, R&B",2001,0.612,0.579,284666,FALSE,,,,,,,,,
112,Peaches & Cream,"hip hop, pop, R&B",2001,0.677,0.52,193093,FALSE,,,,,,,,,
Five,Let's Dance - Radio Edit,pop,2001,0.631,0.821,218626,FALSE,,,,,,,,,
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],Dance/Electronic,2001,0.464,0.922,213133,FALSE,,,,,,,,,
Alien Ant Farm,Smooth Criminal,"rock, metal",2001,0.653,0.964,209266,FALSE,,,,,,,,,
Erick Sermon,Music (feat. Marvin Gaye),"hip hop, pop",2001,0.897,0.466,223133,TRUE,,,,,,,,,
D12,Purple Pills,"hip hop, pop, rock",2001,0.78,0.634,304506,TRUE,,,,,,,,,
Usher,Pop Ya Collar - Radio Edit,"hip hop, pop, R&B",2016,0.888,0.8,210813,FALSE,,,,,,,,,
Madonna,Don't Tell Me,pop,2000,0.699,0.618,280973,FALSE,,,,,,,,,
Blue,If You Come Back,pop,2001,0.582,0.707,207560,FALSE,,,,,,,,,
Atomic Kitten,Eternal Flame - Single Version,pop,2001,0.578,0.581,195506,FALSE,,,,,,,,,
Jagged Edge,Where the Party At (feat. Nelly),"hip hop, pop, R&B",2001,0.596,0.661,232573,FALSE,,,,,,,,,
Afroman,Because I Got High,hip hop,2001,0.802,0.341,197760,TRUE,,,,,,,,,
S Club 7,Don't Stop Movin',pop,2001,0.822,0.672,233626,FALSE,,,,,,,,,
Craig David,Fill Me In,"hip hop, pop, R&B",2000,0.682,0.744,257200,FALSE,,,,,,,,,
Nelly Furtado,Turn Off The Light,"hip hop, pop, latin",2000,0.587,0.679,276106,FALSE,,,,,,,,,
The Supermen Lovers,Starlight - Radio Edit,Dance/Electronic,2001,0.739,0.679,234400,FALSE,,,,,,,,,
Mis-Teeq,All I Want - Sunship Radio Edit,"pop, Dance/Electronic",2004,0.795,0.919,207400,FALSE,,,,,,,,,
Jagged Edge,Promise,"hip hop, pop, R&B",2000,0.751,0.568,246720,FALSE,,,,,,,,,
S Club 7,Have You Ever,pop,2001,0.585,0.702,201533,FALSE,,,,,,,,,
Enya,Only Time,"World/Traditional, Folk/Acoustic",2000,0.418,0.249,218546,FALSE,,,,,,,,,
Faith Hill,There You'll Be,"pop, country",2001,0.321,0.511,222120,FALSE,,,,,,,,,
Ronan Keating,Lovin' Each Day,"pop, rock",2000,0.541,0.899,212973,FALSE,,,,,,,,,
Destiny's Child,Bootylicious,"pop, R&B",2001,0.84,0.835,207906,FALSE,,,,,,,,,
Steps,It's the Way You Make Me Feel,"pop, Dance/Electronic",2000,0.573,0.665,197360,FALSE,,,,,,,,,
Sunshine Anderson,Heard It All Before,"pop, R&B",2001,0.697,0.925,295826,FALSE,,,,,,,,,
Lenny Kravitz,Again,"rock, pop",2000,0.55,0.804,231666,FALSE,,,,,,,,,
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,pop,2002,0.836,0.762,162333,FALSE,,,,,,,,,
DB Boulevard,Point Of View - Radio Edit,Dance/Electronic,2018,0.676,0.715,231166,FALSE,,,,,,,,,
Janet Jackson,All For You,"pop, R&B",2001,0.753,0.934,329933,FALSE,,,,,,,,,
